Date,Month,Client Name,Insurer Name,Policy Type,Premium,Commission,Policy No
2021-06-30,June,Client 1102,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,40196,6029.4,POL-305872
2021-01-31,January,Client 1103,PRIME LIFE ASSURANCE,LOAN PROTECTION,24583860,3687579.0,POL-352809
2021-01-20,January,Client 1104,PRIME LIFE ASSURANCE,LOAN PROTECTION,18811737,2821760.55,POL-883418
2021-01-20,January,Client 1105,PRIME INSURANCE,MOTOR PRIVATE,5494265,824139.75,POL-621480
2021-01-20,January,Client 1106,PRIME INSURANCE,MOTOR PRIVATE,272650,27265.0,POL-264401
2021-03-31,March,Client 1107,MAYFAIR INSURANCE,GROUP PERSONAL ACCIDENT,93305,13995.75,POL-718187
2021-03-31,March,Client 1108,PRIME LIFE ASSURANCE,LOAN PROTECTION,20058613,3008791.95,POL-704302
2021-03-31,March,Client 1109,UAP RWANDA,MOTOR PRIVATE,98940,9894.0,POL-222690
2021-04-27,April,Client 1110,PRIME LIFE ASSURANCE,LOAN PROTECTION,26078379,3911756.85,POL-705684
2021-04-27,April,Client 1111,M.U.A,MOTOR PRIVATE,98940,9894.0,POL-137995
2021-05-31,May,Client 1112,RADIANT INSURANCE COMPANY,MOTOR PRIVATE,18585623,1858562.3,POL-636471
2021-05-31,May,Client 1113,RADIANT INSURANCE COMPANY,FIRE & SPECIAL PERILS,4579773,1144943.25,POL-521578
2021-05-31,May,Client 1114,RADIANT INSURANCE COMPANY,FIRE & SPECIAL PERILS,2934774,733693.5,POL-583723
2021-05-31,May,Client 1115,RADIANT INSURANCE COMPANY,FIRE & SPECIAL PERILS,1565978,234896.7,POL-380847
2021-05-31,May,Client 1116,RADIANT INSURANCE COMPANY,FIRE & SPECIAL PERILS,2102135,315320.25,POL-839946
2021-05-31,May,Client 1117,UAP RWANDA,MOTOR PRIVATE,1931580,289737.0,POL-224096
2021-05-31,May,Client 1118,PRIME LIFE ASSURANCE,LOAN PROTECTION,26244225,3936633.75,POL-170085
2021-05-31,May,Client 1119,PRIME LIFE ASSURANCE,LOAN PROTECTION,6299584,944937.6,POL-623721
2021-06-30,June,Client 1120,MAYFAIR INSURANCE,ELECTRONICS AND ELECTRICAL EQUIPMENTS,5000,750.0,POL-299789
2021-06-30,June,Client 1121,PRIME LIFE ASSURANCE,LOAN PROTECTION,24795216,3719282.4,POL-757548
2021-07-30,July,Client 1122,PRIME LIFE ASSURANCE,LOAN PROTECTION,1521800,228270.0,POL-186346
2021-01-31,January,Client 1123,BRITAM,MEDICAL,135139,13513.9,POL-749209
2021-01-31,January,Client 1124,BRITAM,MEDICAL,48000,12000.0,POL-454744
2021-01-31,January,Client 1125,UAP RWANDA,MOTOR PRIVATE,643124,96468.6,POL-432677
2021-01-31,January,Client 1126,UAP RWANDA,MOTOR PRIVATE,50124,5012.4,POL-492549
2021-01-31,January,Client 1127,BRITAM,FIRE & SPECIAL PERILS,693298,69329.8,POL-942017
2021-01-20,January,Client 1128,UAP RWANDA,MEDICAL,6713787,671378.7,POL-646424
2021-01-20,January,Client 1129,M.U.A,GOODS IN TRANSIT,2243008,336451.2,POL-595326
2021-01-20,January,Client 1130,M.U.A,GOODS IN TRANSIT,1008004,151200.6,POL-533536
2021-01-20,January,Client 1131,UAP RWANDA,MEDICAL,1273411,127341.1,POL-576192
2021-01-20,January,Client 1132,UAP RWANDA,MEDICAL,1183516,118351.6,POL-711193
2021-01-20,January,Client 1133,UAP RWANDA,MEDICAL,1013180,101318.0,POL-302066
2021-01-20,January,Client 1134,M.U.A,GOODS IN TRANSIT,422375,63356.25,POL-716982
2021-01-20,January,Client 1135,UAP RWANDA,MOTOR PRIVATE,337218,50582.7,POL-896281
2021-01-20,January,Client 1136,M.U.A,GOODS IN TRANSIT,194571,29185.65,POL-470460
2021-01-20,January,Client 1137,M.U.A,MOTOR PRIVATE,241800,24180.0,POL-993574
2021-01-20,January,Client 1138,M.U.A,MARINE,155707,23356.05,POL-981676
2021-01-20,January,Client 1139,M.U.A,GOODS IN TRANSIT,141314,21197.1,POL-662335
2021-01-20,January,Client 1140,M.U.A,MOTOR PRIVATE,41850,4185.0,POL-432781
2021-01-20,January,Client 1141,M.U.A,TRAVEL INSURANCE,24744,3711.6,POL-334814
2021-01-20,January,Client 1142,M.U.A,Bid Bond,22800,2280.0,POL-680179
2021-02-20,February,Client 1143,M.U.A,MOTOR PRIVATE,381290,57193.5,POL-873743
2021-02-20,February,Client 1144,M.U.A,MOTOR PRIVATE,19200,1920.0,POL-962492
2021-02-20,February,Client 1145,BK INSURANCE,FIRE,3637193,363719.3,POL-369327
2021-02-20,February,Client 1146,SANLAM AG,MOTOR PRIVATE,98940,9894.0,POL-641566
2021-02-20,February,Client 1147,BK INSURANCE,WORKMEN'S COMPENSATION,2700000,270000.0,POL-888284
2021-02-20,February,Client 1148,M.U.A,FIRE & SPECIAL PERILS,51221,5122.1,POL-133859
2021-02-20,February,Client 1149,M.U.A,FIRE & SPECIAL PERILS,29616,4442.4,POL-629824
2021-03-31,March,Client 1150,BK INSURANCE,WORKMEN'S COMPENSATION,90000,9000.0,POL-129130
2021-03-31,March,Client 1151,BK INSURANCE,ALL RISKS,2834800,425220.0,POL-843579
2021-03-31,March,Client 1152,M.U.A,Bid Bond,24000,2400.0,POL-816575
2021-03-31,March,Client 1153,M.U.A,GROUP PERSONAL ACCIDENT,84000,12600.0,POL-713995
2021-03-31,March,Client 1154,PRIME INSURANCE,MOTOR PRIVATE,1787500,268125.0,POL-806901
2021-03-31,March,Client 1155,PRIME INSURANCE,MOTOR PRIVATE,57400,5740.0,POL-661127
2021-04-27,April,Client 1156,RADIANT INSURANCE COMPANY,PUBLIC LIABILITY,297773,44665.95,POL-506548
2021-04-27,April,Client 1157,M.U.A,MOTOR PRIVATE,1447997,217199.55,POL-667533
2021-04-27,April,Client 1158,M.U.A,MOTOR PRIVATE,57400,5740.0,POL-827782
2021-04-27,April,Client 1159,M.U.A,MOTOR PRIVATE,57400,5740.0,POL-876124
2021-04-27,April,Client 1160,BK INSURANCE,PERFORMANCE BOND,702000,70200.0,POL-345289
2021-04-27,April,Client 1161,M.U.A,MOTOR PRIVATE,1447997,217199.55,POL-870275
2021-04-27,April,Client 1162,M.U.A,GROUP PERSONAL ACCIDENT,73500,11025.0,POL-230158
2021-04-27,April,Client 1163,M.U.A,GROUP PERSONAL ACCIDENT,320000,48000.0,POL-245265
2021-05-31,May,Client 1164,SANLAM AG,MOTOR PRIVATE,170170,17017.0,POL-114752
2021-05-31,May,Client 1165,UAP RWANDA,MOTOR PRIVATE,98940,9894.0,POL-241266
2021-05-31,May,Client 1166,PRIME INSURANCE,MOTOR PRIVATE,1063134,159470.1,POL-840921
2021-05-31,May,Client 1167,PRIME INSURANCE,MOTOR PRIVATE,50800,5080.0,POL-691802
2021-06-30,June,Client 1168,M.U.A,GROUP PERSONAL ACCIDENT,315000,31500.0,POL-773118
2021-06-30,June,Client 1169,M.U.A,PUBLIC LIABILITY,593136,88970.4,POL-122086
2021-06-30,June,Client 1170,M.U.A,MOTOR PRIVATE,49470,4947.0,POL-328609
2021-06-30,June,Client 1171,M.U.A,MOTOR PRIVATE,83700,8370.0,POL-522485
2021-06-30,June,Client 1172,PRIME LIFE ASSURANCE,LOAN PROTECTION,242322,36348.3,POL-130354
2021-06-30,June,Client 1173,PRIME INSURANCE,FIRE & SPECIAL PERILS,58206,8730.9,POL-431593
2021-06-30,June,Client 1174,SANLAM VIE,LOAN PROTECTION,43016,6452.4,POL-262217
2021-06-30,June,Client 1175,SANLAM VIE,LOAN PROTECTION,29200,4380.0,POL-690759
2021-06-30,June,Client 1176,UAP RWANDA,FIRE,2278230,227823.0,POL-214032
2021-06-30,June,Client 1177,UAP RWANDA,FIRE,1295879,129587.9,POL-134113
2021-06-30,June,Client 1178,PRIME LIFE ASSURANCE,LOAN PROTECTION,63835,9575.25,POL-384608
2021-06-30,June,Client 1179,SONARWA GENERAL INSURANCE COMPANY Ltd,FIRE & SPECIAL PERILS,77325,11598.75,POL-980758
2021-06-30,June,Client 1180,SANLAM VIE,LOAN PROTECTION,88132,13219.8,POL-868198
2021-06-30,June,Client 1181,PRIME LIFE ASSURANCE,LOAN PROTECTION,63098,9464.7,POL-810369
2021-06-30,June,Client 1182,PRIME LIFE ASSURANCE,LOAN PROTECTION,63900,9585.0,POL-907086
2021-06-30,June,Client 1183,SANLAM VIE,LOAN PROTECTION,9357,1403.55,POL-181783
2021-06-30,June,Client 1184,PRIME LIFE ASSURANCE,LOAN PROTECTION,54750,8212.5,POL-325890
2021-06-30,June,Client 1185,SANLAM VIE,LOAN PROTECTION,31521,4728.15,POL-731394
2021-06-30,June,Client 1186,SANLAM VIE,LOAN PROTECTION,103050,15457.5,POL-478229
2021-06-30,June,Client 1187,SANLAM VIE,LOAN PROTECTION,32430,4864.5,POL-710500
2021-06-30,June,Client 1188,SANLAM VIE,LOAN PROTECTION,37832,5674.8,POL-275127
2021-06-30,June,Client 1189,SANLAM AG,FIRE & SPECIAL PERILS,240800,24080.0,POL-717706
2021-06-30,June,Client 1190,SANLAM AG,FIRE & SPECIAL PERILS,21480,3222.0,POL-448140
2021-06-30,June,Client 1191,SANLAM AG,FIRE & SPECIAL PERILS,122315,18347.25,POL-934985
2021-06-30,June,Client 1192,RADIANT INSURANCE COMPANY,FIRE & SPECIAL PERILS,80896,12134.4,POL-881531
2021-06-30,June,Client 1193,PRIME LIFE ASSURANCE,LOAN PROTECTION,55534,8330.1,POL-842926
2021-06-30,June,Client 1194,PRIME LIFE ASSURANCE,LOAN PROTECTION,31400,4710.0,POL-133546
2021-06-30,June,Client 1195,RADIANT INSURANCE COMPANY,FIRE & SPECIAL PERILS,131845,19776.75,POL-869860
2021-06-30,June,Client 1196,PRIME INSURANCE,FIRE & SPECIAL PERILS,127179,19076.85,POL-829001
2021-06-30,June,Client 1197,PRIME LIFE ASSURANCE,LOAN PROTECTION,178251,26737.65,POL-400930
2021-06-30,June,Client 1198,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,12450,1867.5,POL-525079
2021-06-30,June,Client 1199,PRIME INSURANCE,FIRE & SPECIAL PERILS,163660,24549.0,POL-520747
2021-06-30,June,Client 1200,BK INSURANCE,FIRE & SPECIAL PERILS,132203,19830.45,POL-327013
2021-06-30,June,Client 1201,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,601872,60187.2,POL-234450
2021-06-30,June,Client 1202,SANLAM AG,FIRE & SPECIAL PERILS,36451,5467.65,POL-654258
2021-07-30,July,Client 1203,PRIME LIFE ASSURANCE,LOAN PROTECTION,4620951,693142.65,POL-812151
2021-07-31,July,Client 1204,SANLAM AG,FIRE & SPECIAL PERILS,122432,18364.8,POL-724549
2021-07-31,July,Client 1205,SANLAM VIE,LOAN PROTECTION,73600,11040.0,POL-117391
2021-07-31,July,Client 1206,SANLAM AG,FIRE & SPECIAL PERILS,8534255,853425.5,POL-896332
2021-07-31,July,Client 1207,SANLAM VIE,LOAN PROTECTION,1595240,239286.0,POL-242134
2021-07-31,July,Client 1208,PRIME LIFE ASSURANCE,LOAN PROTECTION,14790,2218.5,POL-755810
2021-07-31,July,Client 1209,SANLAM VIE,LOAN PROTECTION,53110,7966.5,POL-904430
2021-07-31,July,Client 1210,SANLAM VIE,LOAN PROTECTION,444478,66671.7,POL-415354
2021-07-31,July,Client 1211,SANLAM VIE,LOAN PROTECTION,2629911,394486.65,POL-611228
2021-07-31,July,Client 1212,SANLAM AG,FIRE & SPECIAL PERILS,1750000,262500.0,POL-499284
2021-07-31,July,Client 1213,SANLAM VIE,LOAN PROTECTION,1210120,181518.0,POL-773792
2021-07-31,July,Client 1214,RADIANT YACU LTD,LOAN PROTECTION,27587,4138.05,POL-994581
2021-07-31,July,Client 1215,SANLAM VIE,LOAN PROTECTION,115442,17316.3,POL-642864
2021-02-20,February,Client 1216,M.U.A,MOTOR PRIVATE,10800,1080.0,POL-936986
2021-02-20,February,Client 1217,M.U.A,MOTOR PRIVATE,16275,1627.5,POL-922699
2021-02-20,February,Client 1218,MAYFAIR INSURANCE,WORKMEN'S COMPENSATION,1008000,100800.0,POL-262718
2021-02-20,February,Client 1219,MAYFAIR INSURANCE,PROFESSIONAL INDEMNITY,250000,37500.0,POL-787101
2021-03-31,March,Client 1220,M.U.A,ALL RISKS,540000,81000.0,POL-333931
2021-05-31,May,Client 1221,M.U.A,MOTOR CYCLE,40900,4090.0,POL-337026
2021-05-31,May,Client 1222,M.U.A,GROUP PERSONAL ACCIDENT,84000,12600.0,POL-217995
2021-05-31,May,Client 1223,M.U.A,PROFESSIONAL INDEMNITY,250000,37500.0,POL-933595
2021-06-30,June,Client 1224,M.U.A,MOTOR PRIVATE,38310,3831.0,POL-396520
2021-06-30,June,Client 1225,MAYFAIR INSURANCE,PERFORMANCE BOND,63803,6380.3,POL-459383
2021-06-30,June,Client 1226,MAYFAIR INSURANCE,PERFORMANCE BOND,165997,16599.7,POL-412051
2021-06-30,June,Client 1227,UAP RWANDA,MOTOR PRIVATE,32550,3255.0,POL-720670
